i,j,R_avg,R_min,R_max
2.0,3.0,2502.09565,2444.8346,2538.3631
2.0,5.0,2140.48351,2111.0073,2166.5633
2.0,6.0,2951.1362499999996,2931.9664,2966.9909
2.0,7.0,2647.274925,2633.589,2658.6747
2.0,10.0,1606.8322750000002,1598.7101,1614.0852
3.0,5.0,1692.6704249999998,1651.9924,1718.827
3.0,6.0,2503.7027350000003,2491.1329,2514.5544
3.0,7.0,2245.4304450000004,2239.0066,2250.7703
3.0,10.0,1754.43723,1745.687,1762.1806
5.0,6.0,1345.3079400000001,1345.0305,1345.6335
5.0,7.0,1622.47626,1605.196,1632.6655
5.0,10.0,1207.2345249999998,1186.6733,1220.914
6.0,7.0,2566.24492,2511.2163,2602.2691
6.0,10.0,2206.170245,2178.6447,2228.5116
7.0,10.0,1680.2397700000001,1646.9816,1700.4694
