i,j,R_avg,R_min,R_max
h_1,h_2,727.1044205000001,727.10149,727.10571
a_2,a_3,177.15385849999998,177.15253,177.15491
a_3,a_4,168.644006,168.64279,168.64539
a_2,h_1,791.1281614999999,791.12131,791.13006
a_3,h_1,795.2645445000002,795.25619,795.26732
a_4,h_1,799.7004760000001,799.69129,799.70382
a_2,h_2,287.053468,287.04859,287.05723
a_3,h_2,299.51301550000005,299.45078,299.54554
a_4,h_2,304.8892170000001,304.88705,304.89104
