B1;L11;B2;L12;Vtp
0.262621811;9.29E-05;0.262621811;-1.05E-06;-0.011346629
0.265617309;9.16E-05;0.265617309;-1.02E-06;-0.011157863
0.268612806;9.04E-05;0.268612806;-9.92E-07;-0.010975379
0.271608304;8.91E-05;0.271608304;-9.63E-07;-0.010798986
0.274603802;8.80E-05;0.274603802;-9.35E-07;-0.01062851
0.2775993;8.68E-05;0.2775993;-9.08E-07;-0.010463768
0.280594797;8.57E-05;0.280594797;-8.83E-07;-0.010304551
0.283590295;8.46E-05;0.283590295;-8.58E-07;-0.010150617
0.286585793;8.35E-05;0.286585793;-8.35E-07;-0.010001685
0.289581291;8.25E-05;0.289581291;-8.13E-07;-0.009857442
0.292576788;8.14E-05;0.292576788;-7.91E-07;-0.009717547
0.295572286;8.04E-05;0.295572286;-7.71E-07;-0.009581646
0.298567784;7.95E-05;0.298567784;-7.51E-07;-0.009449384
0.301563282;7.85E-05;0.301563282;-7.32E-07;-0.00932042
0.304558779;7.76E-05;0.304558779;-7.13E-07;-0.009194438
0.307554277;7.67E-05;0.307554277;-6.95E-07;-0.009071161
0.310549775;7.58E-05;0.310549775;-6.78E-07;-0.008950356
0.313545273;7.49E-05;0.313545273;-6.62E-07;-0.008831842
0.31654077;7.41E-05;0.31654077;-6.46E-07;-0.008715482
0.319536268;7.32E-05;0.319536268;-6.30E-07;-0.008601189
0.322531766;7.24E-05;0.322531766;-6.15E-07;-0.008488914
0.325527264;7.17E-05;0.325527264;-6.00E-07;-0.008378645
0.328522761;7.09E-05;0.328522761;-5.86E-07;-0.008270396
0.331518259;7.01E-05;0.331518259;-5.73E-07;-0.008164206
0.334513757;6.94E-05;0.334513757;-5.59E-07;-0.00806013
0.337509255;6.87E-05;0.337509255;-5.47E-07;-0.007958239
0.340504752;6.80E-05;0.340504752;-5.34E-07;-0.007858617
0.34350025;6.73E-05;0.34350025;-5.22E-07;-0.007761359
0.346495748;6.66E-05;0.346495748;-5.11E-07;-0.007666573
0.349491246;6.60E-05;0.349491246;-5.00E-07;-0.007574371
0.352486743;6.53E-05;0.352486743;-4.89E-07;-0.007484874
0.355482241;6.47E-05;0.355482241;-4.79E-07;-0.007398203
0.358477739;6.41E-05;0.358477739;-4.69E-07;-0.007314475
0.361473237;6.35E-05;0.361473237;-4.59E-07;-0.007233797
0.364468734;6.29E-05;0.364468734;-4.50E-07;-0.007156257
0.367464232;6.23E-05;0.367464232;-4.41E-07;-0.00708192
0.37045973;6.17E-05;0.37045973;-4.33E-07;-0.00701082
0.373455228;6.12E-05;0.373455228;-4.25E-07;-0.00694295
0.376450725;6.06E-05;0.376450725;-4.17E-07;-0.006878265
0.379446223;6.01E-05;0.379446223;-4.10E-07;-0.006816676
0.382441721;5.95E-05;0.382441721;-4.02E-07;-0.00675805
0.385437219;5.90E-05;0.385437219;-3.96E-07;-0.006702216
0.388432716;5.85E-05;0.388432716;-3.89E-07;-0.006648967
0.391428214;5.80E-05;0.391428214;-3.83E-07;-0.00659807
0.394423712;5.75E-05;0.394423712;-3.77E-07;-0.006549274
0.39741921;5.70E-05;0.39741921;-3.71E-07;-0.00650232
0.400414707;5.65E-05;0.400414707;-3.65E-07;-0.006456954
0.403410205;5.60E-05;0.403410205;-3.59E-07;-0.006412932
0.406405703;5.56E-05;0.406405703;-3.54E-07;-0.006370036
0.409401201;5.51E-05;0.409401201;-3.49E-07;-0.006328077
0.412396698;5.46E-05;0.412396698;-3.44E-07;-0.006286902
0.415392196;5.42E-05;0.415392196;-3.38E-07;-0.0062464
0.418387694;5.37E-05;0.418387694;-3.34E-07;-0.006206501
0.421383192;5.33E-05;0.421383192;-3.29E-07;-0.006167176
0.424378689;5.29E-05;0.424378689;-3.24E-07;-0.006128434
0.427374187;5.24E-05;0.427374187;-3.19E-07;-0.006090317
0.430369685;5.20E-05;0.430369685;-3.15E-07;-0.006052898
0.433365183;5.16E-05;0.433365183;-3.10E-07;-0.006016269
0.43636068;5.12E-05;0.43636068;-3.06E-07;-0.005980542
0.439356178;5.08E-05;0.439356178;-3.02E-07;-0.005945836
0.442351676;5.04E-05;0.442351676;-2.98E-07;-0.005912277
0.445347174;5.00E-05;0.445347174;-2.94E-07;-0.005879992
0.448342671;4.96E-05;0.448342671;-2.90E-07;-0.005849102
0.451338169;4.92E-05;0.451338169;-2.86E-07;-0.005819725
0.454333667;4.88E-05;0.454333667;-2.83E-07;-0.005791964
0.457329165;4.85E-05;0.457329165;-2.79E-07;-0.005765906
0.460324662;4.81E-05;0.460324662;-2.76E-07;-0.005741616
0.46332016;4.77E-05;0.46332016;-2.73E-07;-0.005719132
0.466315658;4.74E-05;0.466315658;-2.70E-07;-0.005698461
0.469311156;4.70E-05;0.469311156;-2.67E-07;-0.00567958
0.472306653;4.67E-05;0.472306653;-2.64E-07;-0.00566243
0.475302151;4.63E-05;0.475302151;-2.62E-07;-0.005646929
0.478297649;4.60E-05;0.478297649;-2.59E-07;-0.005632966
0.481293147;4.56E-05;0.481293147;-2.56E-07;-0.005620408
0.484288644;4.53E-05;0.484288644;-2.54E-07;-0.005609102
0.487284142;4.49E-05;0.487284142;-2.52E-07;-0.005598871
0.49027964;4.46E-05;0.49027964;-2.49E-07;-0.005589518
0.493275138;4.43E-05;0.493275138;-2.47E-07;-0.005580824
0.496270635;4.39E-05;0.496270635;-2.45E-07;-0.005572555
0.499266133;4.36E-05;0.499266133;-2.43E-07;-0.005564473
0.502261631;4.33E-05;0.502261631;-2.41E-07;-0.005556356
0.505257129;4.30E-05;0.505257129;-2.38E-07;-0.005548015
0.508252626;4.27E-05;0.508252626;-2.36E-07;-0.005539311
0.511248124;4.23E-05;0.511248124;-2.34E-07;-0.005530167
0.514243622;4.20E-05;0.514243622;-2.32E-07;-0.005520565
0.51723912;4.17E-05;0.51723912;-2.30E-07;-0.005510529
0.520234617;4.14E-05;0.520234617;-2.28E-07;-0.005500102
0.523230115;4.11E-05;0.523230115;-2.26E-07;-0.005489318
0.526225613;4.08E-05;0.526225613;-2.23E-07;-0.00547817
0.529221111;4.05E-05;0.529221111;-2.21E-07;-0.005466603
0.532216608;4.02E-05;0.532216608;-2.19E-07;-0.00545452
0.535212106;3.99E-05;0.535212106;-2.17E-07;-0.005441805
0.538207604;3.96E-05;0.538207604;-2.15E-07;-0.005428368
0.541203102;3.93E-05;0.541203102;-2.13E-07;-0.005414191
0.544198599;3.90E-05;0.544198599;-2.11E-07;-0.005399363
0.547194097;3.87E-05;0.547194097;-2.09E-07;-0.005384098
0.550189595;3.85E-05;0.550189595;-2.06E-07;-0.005368717
0.553185093;3.82E-05;0.553185093;-2.04E-07;-0.005353598
0.55618059;3.79E-05;0.55618059;-2.02E-07;-0.005339098
0.559176088;3.76E-05;0.559176088;-2.00E-07;-0.005325463
0.562171586;3.74E-05;0.562171586;-1.99E-07;-0.005312745
0.565167084;3.71E-05;0.565167084;-1.97E-07;-0.005300745
0.568162581;3.68E-05;0.568162581;-1.95E-07;-0.005289006
0.571158079;3.66E-05;0.571158079;-1.93E-07;-0.005276855
0.574153577;3.63E-05;0.574153577;-1.91E-07;-0.005263508
0.577149075;3.61E-05;0.577149075;-1.89E-07;-0.005248203
0.580144572;3.58E-05;0.580144572;-1.87E-07;-0.005230355
0.58314007;3.55E-05;0.58314007;-1.85E-07;-0.0052097
0.586135568;3.53E-05;0.586135568;-1.83E-07;-0.005186385
0.589131066;3.50E-05;0.589131066;-1.81E-07;-0.005160999
0.592126563;3.48E-05;0.592126563;-1.79E-07;-0.005134515
