B;Vheate;sample;Power;VtpYring2;VtpXring2;VtpYring1;VtpXring1
0.245;0.2;'F150709B';2.77E-07;-1.0922200000E-07;2.2016600000E-09;-4.6886700000E-08;2.2128400000E-09
0.25;0.2;'F150709B';2.77E-07;1.0044900000E-07;3.2112100000E-09;-2.4363500000E-08;1.8999100000E-09
0.255;0.2;'F150709B';2.77E-07;2.3741400000E-08;8.6650800000E-09;-8.9742700000E-08;8.3521600000E-09
0.26;0.2;'F150709B';2.77E-07;-1.2215300000E-07;-8.2701800000E-10;-6.4373500000E-08;-1.5646300000E-09
0.265;0.2;'F150709B';2.77E-07;1.2117700000E-07;-2.5332200000E-10;-2.2895800000E-08;-4.0978400000E-10
0.27;0.2;'F150709B';2.77E-07;-5.0664300000E-10;2.1085300000E-09;-1.0685700000E-07;-3.9488300000E-10
0.275;0.2;'F150709B';2.77E-07;-2.8217000000E-07;6.1989100000E-09;-5.0366200000E-08;3.5911900000E-09
0.28;0.2;'F150709B';2.77E-07;9.7975600000E-08;-2.4661600000E-09;-4.2751700000E-08;2.3469500000E-09
0.285;0.2;'F150709B';2.77E-07;-2.1844500000E-07;4.0680500000E-09;-7.9423700000E-08;7.0929800000E-09
0.29;0.2;'F150709B';2.77E-07;1.3838800000E-07;4.1723400000E-10;-3.7119000000E-08;2.3320500000E-09
0.295;0.2;'F150709B';2.77E-07;-2.4536400000E-07;9.4473900000E-09;-8.9757600000E-08;4.0680500000E-09
0.3;0.2;'F150709B';2.77E-07;1.3995300000E-07;1.7285400000E-09;-2.0459400000E-08;-9.0897400000E-10
0.305;0.2;'F150709B';2.77E-07;-2.7740200000E-07;3.3378700000E-09;-1.0251300000E-07;7.2718000000E-09
0.31;0.2;'F150709B';2.77E-07;1.7404600000E-07;1.3113100000E-09;1.6868200000E-08;1.4510100000E-09
0.315;0.2;'F150709B';2.77E-07;-8.3923800000E-08;6.6534000000E-09;-1.7345100000E-08;1.8272600000E-09
0.32;0.2;'F150709B';2.77E-07;3.3080700000E-09;-3.2633700000E-09;2.6673200000E-08;3.2596400000E-09
0.325;0.2;'F150709B';2.77E-07;6.0029600000E-08;-2.0414700000E-09;-1.4439300000E-08;-2.5704700000E-10
0.33;0.2;'F150709B';2.77E-07;-1.9893200000E-09;8.2851000000E-09;6.8240300000E-08;3.1292600000E-10
0.335;0.2;'F150709B';2.77E-07;1.4741800000E-07;3.1143600000E-09;4.2416400000E-08;-2.9057400000E-10
0.34;0.2;'F150709B';2.77E-07;-1.1983600000E-07;1.0505400000E-09;-4.5679700000E-08;2.9541700000E-09
0.345;0.2;'F150709B';2.77E-07;-4.1716000000E-08;3.6508000000E-09;-5.9858200000E-08;2.7641800000E-09
0.35;0.2;'F150709B';2.77E-07;1.4195700000E-07;1.3932700000E-09;3.0517800000E-08;1.2479800000E-09
0.355;0.2;'F150709B';2.77E-07;-2.4765800000E-08;-4.1202000000E-09;-2.6617300000E-08;1.9930400000E-09
0.36;0.2;'F150709B';2.77E-07;-4.2565400000E-08;2.0265700000E-09;2.4501400000E-08;-3.2782700000E-10
0.365;0.2;'F150709B';2.77E-07;1.2137000000E-07;6.2585200000E-10;4.7881400000E-08;1.4826700000E-09
0.37;0.2;'F150709B';2.77E-07;2.9385200000E-08;-4.2468600000E-09;-2.3726500000E-08;1.2926800000E-09
0.375;0.2;'F150709B';2.77E-07;4.9986200000E-08;2.6598700000E-09;1.7089500000E-07;5.8263800000E-09
0.38;0.2;'F150709B';2.77E-07;7.3228500000E-08;2.6114400000E-09;7.5221500000E-08;2.8386900000E-09
0.385;0.2;'F150709B';2.77E-07;1.6581400000E-08;-7.8976500000E-10;-3.5804000000E-08;8.0094100000E-10
0.39;0.2;'F150709B';2.77E-07;-3.0130300000E-07;-4.7386000000E-09;-1.8364300000E-07;2.6822200000E-09
0.395;0.2;'F150709B';2.77E-07;-8.2582700000E-08;8.9407400000E-11;9.5755300000E-08;4.7982000000E-09
0.4;0.2;'F150709B';2.77E-07;7.5191700000E-08;2.2053900000E-09;8.4817900000E-08;-1.5199300000E-09
0.405;0.2;'F150709B';2.77E-07;3.3676900000E-08;3.1292600000E-10;-3.9406400000E-08;-1.1697500000E-09
0.41;0.2;'F150709B';2.77E-07;-2.1752100000E-07;-2.5406600000E-09;-1.4767100000E-07;2.0116700000E-09
0.415;0.2;'F150709B';2.77E-07;-9.8795200000E-08;1.5050200000E-09;1.0738600000E-07;8.5458700000E-09
0.42;0.2;'F150709B';2.77E-07;3.8549500000E-08;2.2202900000E-09;9.9584900000E-08;-3.8743200000E-10
0.425;0.2;'F150709B';2.77E-07;4.8511000000E-08;-2.6077200000E-10;-2.1789300000E-08;-6.3702800000E-10
0.43;0.2;'F150709B';2.77E-07;-7.7225800000E-09;-1.0021100000E-08;-6.7227100000E-08;-4.5076200000E-10
0.435;0.2;'F150709B';2.77E-07;-6.2503400000E-08;8.8662300000E-10;1.0725900000E-07;5.2899400000E-09
0.44;0.2;'F150709B';2.77E-07;-7.0095500000E-08;-3.8668800000E-09;8.6069600000E-08;2.7865300000E-09
0.445;0.2;'F150709B';2.77E-07;-1.5348300000E-08;1.8626600000E-11;8.4162200000E-08;-6.7055700000E-11
0.45;0.2;'F150709B';2.77E-07;6.1084100000E-08;-1.3299400000E-09;-3.2346900000E-08;6.8918200000E-10
0.455;0.2;'F150709B';2.77E-07;-2.2955400000E-08;-1.3673700000E-08;-5.9601200000E-08;3.1665100000E-10
0.46;0.2;'F150709B';2.77E-07;-1.0770200000E-07;1.2476100000E-08;6.9499500000E-08;9.9689400000E-09
0.465;0.2;'F150709B';2.77E-07;-1.1515700000E-07;9.9614800000E-09;7.1146100000E-08;9.7603300000E-10
0.47;0.2;'F150709B';2.77E-07;-1.9014000000E-08;9.6113200000E-10;9.0912500000E-08;1.1399500000E-09
0.475;0.2;'F150709B';2.77E-07;6.7048200000E-08;-2.2277400000E-09;-2.3786100000E-08;-2.4959600000E-10
0.48;0.2;'F150709B';2.77E-07;7.9013900000E-08;-1.7434400000E-09;-2.1387000000E-08;-2.3096900000E-10
0.485;0.2;'F150709B';2.77E-07;-2.3514100000E-08;-4.1947100000E-09;-3.6075900000E-08;2.2463600000E-09
0.49;0.2;'F150709B';2.77E-07;-1.3830600000E-07;7.9721600000E-10;4.9688200000E-08;3.6955000000E-09
0.495;0.2;'F150709B';2.77E-07;-1.0509100000E-07;1.4826700000E-09;9.2018900000E-08;-1.6577600000E-09
0.5;0.2;'F150709B';2.77E-07;-5.8636400000E-09;-5.6587500000E-09;6.9160500000E-08;5.7369800000E-10
0.505;0.2;'F150709B';2.77E-07;6.1493800000E-08;-9.5368200000E-10;-2.7172400000E-08;1.2181800000E-09
0.51;0.2;'F150709B';2.77E-07;7.7456700000E-08;-2.5294900000E-09;-2.6274600000E-08;6.2585200000E-10
0.515;0.2;'F150709B';2.77E-07;2.2333200000E-08;-1.0952400000E-09;-2.6833400000E-08;1.2405300000E-09
0.52;0.2;'F150709B';2.77E-07;-7.7240600000E-08;7.8231600000E-11;1.8216800000E-08;7.9051200000E-09
0.525;0.2;'F150709B';2.77E-07;-1.7491100000E-07;-7.3016000000E-09;3.0037100000E-08;-6.9663300000E-10
0.53;0.2;'F150709B';2.77E-07;-2.9198900000E-08;-1.4156200000E-10;1.0291500000E-07;-7.7486400000E-10
0.535;0.2;'F150709B';2.77E-07;4.5851100000E-08;1.0430900000E-10;-2.3562600000E-08;-3.7253100000E-10
0.54;0.2;'F150709B';2.77E-07;7.2792600000E-08;-2.2947900000E-09;-5.2206500000E-08;2.6449700000E-10
0.545;0.2;'F150709B';2.77E-07;9.1851200000E-08;-3.6210000000E-09;-1.6015100000E-08;-1.3299400000E-09
0.55;0.2;'F150709B';2.77E-07;5.9500600000E-08;-1.7210900000E-09;-2.2733700000E-08;1.2312200000E-09
0.555;0.2;'F150709B';2.77E-07;-1.2678700000E-07;-5.1856300000E-09;-9.9763900000E-09;-1.0117900000E-08
0.56;0.2;'F150709B';2.77E-07;-1.9887200000E-07;-1.0550100000E-08;2.4832900000E-08;-1.4901200000E-09
0.565;0.2;'F150709B';2.77E-07;-9.7573300000E-08;8.3446900000E-10;1.1919500000E-07;-2.0936300000E-09
