# frequency (Hz)	Voltage_X (V) 	Voltage_Y (V)
1.1300000e+01	0.0000000e+00	0.0000000e+00
1.5458927e+01	0.0000000e+00	0.0000000e+00
2.1148532e+01	0.0000000e+00	0.0000000e+00
2.8932178e+01	0.0000000e+00	0.0000000e+00
3.9580567e+01	0.0000000e+00	0.0000000e+00
5.4148061e+01	0.0000000e+00	0.0000000e+00
7.4077071e+01	0.0000000e+00	0.0000000e+00
1.0134089e+02	0.0000000e+00	0.0000000e+00
1.3863905e+02	0.0000000e+00	0.0000000e+00
1.8966469e+02	0.0000000e+00	0.0000000e+00
2.5947013e+02	0.0000000e+00	0.0000000e+00
3.5496723e+02	0.0000000e+00	0.0000000e+00
4.8561172e+02	0.0000000e+00	0.0000000e+00
6.6433947e+02	0.0000000e+00	0.0000000e+00
9.0884735e+02	0.0000000e+00	0.0000000e+00
1.2433455e+03	0.0000000e+00	0.0000000e+00
1.7009546e+03	0.0000000e+00	0.0000000e+00
2.3269852e+03	0.0000000e+00	0.0000000e+00
3.1834242e+03	0.0000000e+00	0.0000000e+00
4.3550727e+03	0.0000000e+00	0.0000000e+00
5.9579425e+03	0.0000000e+00	0.0000000e+00
8.1507430e+03	0.0000000e+00	0.0000000e+00
1.1150596e+04	0.0000000e+00	0.0000000e+00
1.5254535e+04	0.0000000e+00	0.0000000e+00
2.0868915e+04	0.0000000e+00	0.0000000e+00
2.8549649e+04	0.0000000e+00	0.0000000e+00
3.9057250e+04	0.0000000e+00	0.0000000e+00
5.3432139e+04	0.0000000e+00	0.0000000e+00
7.3097656e+04	0.0000000e+00	0.0000000e+00
1.0000100e+05	0.0000000e+00	3.8147300e-06
