# frequency (Hz)	Voltage (V) 	phase (deg)
1.0000000e+02	5.0617600e-05	3.7740000e+01
1.2294934e+02	5.4244200e-05	3.1464000e+01
1.5116541e+02	5.4609300e-05	2.6676000e+01
1.8585687e+02	6.0055600e-05	2.1936000e+01
2.2850980e+02	6.1851500e-05	1.7736000e+01
2.8095129e+02	6.2794000e-05	1.4058000e+01
3.4542776e+02	6.3289400e-05	1.0704000e+01
4.2470116e+02	6.3807200e-05	8.2080000e+00
5.2216728e+02	6.3710400e-05	6.1800000e+00
6.4200123e+02	6.3349000e-05	4.4220000e+00
7.8933628e+02	6.2842400e-05	3.1080000e+00
9.7048376e+02	6.2071300e-05	1.9620000e+00
1.1932034e+03	6.1475200e-05	1.3200000e+00
1.4670357e+03	6.0640500e-05	9.2400000e-01
1.8037107e+03	6.0182300e-05	6.0000000e-01
2.2176505e+03	5.9623500e-05	5.4600000e-01
2.7265867e+03	5.9090800e-05	1.1100000e+00
3.3523203e+03	5.8699600e-05	1.6740000e+00
4.1216558e+03	5.8517100e-05	2.4960000e+00
5.0675486e+03	5.8722000e-05	3.4920000e+00
6.2305177e+03	5.9087100e-05	4.6800000e+00
7.6603804e+03	5.9694300e-05	5.7840000e+00
9.4183873e+03	6.0808100e-05	6.8040000e+00
1.1579845e+04	6.2224000e-05	7.8900000e+00
1.4237343e+04	6.3881700e-05	8.5800000e+00
1.7504720e+04	6.5994000e-05	9.2160000e+00
2.1521938e+04	6.8095000e-05	9.8460000e+00
2.6461081e+04	7.1071600e-05	1.0722000e+01
3.2533725e+04	7.4845300e-05	1.1160000e+01
4.0000000e+04	8.1424100e-05	1.3014000e+01
