# frequency (Hz)	Voltage_X (V) 	Voltage_Y (V)
1.0700000e+01	5.0506800e-02	1.5258900e-05
1.2391816e+01	5.0075800e-02	0.0000000e+00
1.4351131e+01	5.0026200e-02	0.0000000e+00
1.6620241e+01	5.0014700e-02	-1.9073600e-05
1.9248127e+01	5.0014700e-02	0.0000000e+00
2.2291519e+01	5.0014700e-02	0.0000000e+00
2.5816112e+01	5.0014700e-02	0.0000000e+00
2.9897992e+01	5.0018500e-02	0.0000000e+00
3.4625272e+01	5.0003300e-02	0.0000000e+00
4.0100000e+01	5.0022400e-02	-1.9073600e-05
