i,j,R_min,R_max,R_avg
h_1,h_2,1.789228,1.789278,1.789253
h_1,a_1,347.5458,347.7803,347.663
h_1,a_3,1.846655,1.847015,1.846835
h_1,a_4,64.95111,64.96766,64.95934
h_1,a_4_2,65.03733,65.05342,65.04537
h_2,a_1,347.1416,347.2671,347.2043
h_2,a_3,1.903272,1.903545,1.903408
h_2,a_4,64.86973,64.87801,64.87306
h_2,a_4_2,64.91462,64.94303,64.92882
a_3,a_4,64.71255,64.74751,64.73003
a_3,a_4_2,64.44677,64.45084,64.4488
