i,j,R_min,R_max,R_avg
h_1,h_2,0.60665494,0.6066686,0.6066646
a_2,a_3,0.1168697,0.116936,0.1169047
a_3,a_4,0.6480072,0.6506432,0.6487158
a_2,h_1,0.7226032,0.7228022,0.7227205
a_3,h_1,0.608065,0.608068,0.6080669
a_4,h_1,0.6712789,0.6714063,0.6713604
a_2,h_2,0.1167565,0.116903,0.1168158
a_3,h_2,0.0180279,0.01804355,0.018
a_4,h_2,0.649662,0.6506266,0.6502753
