Frequency 	Zi_Ohm
8	1,7647429486426E18
8,11310127015005	1,75920497025705E18
8,22780152746378	1,75356333440757E18
8,34412337787611	1,74781729995728E18
8,46208974691692	1,74196617441012E18
8,58172388422942	1,736009316555E18
8,70304936815234	1,72994613842207E18
8,82609011036691	1,72377610772289E18
8,95087036060957	1,71749874993293E18
9,07741471145123	1,71111365031907E18
9,20574810314422	1,70462045649933E18
9,33589582853759	1,69801888031284E18
9,4678835380621	1,69130869980127E18
9,60173724478554	1,68448976113496E18
9,73748332953957	1,67756198089152E18
9,87514854611905	1,6705253473783E18
10,0147600265549	1,66337992301288E18
10,1563452864613	1,65612584521886E18
10,2999322304589	1,64876332863769E18
10,4455491576744	1,64129266634949E18
10,5932247673179	1,63371423119073E18
10,742988164339	1,62602847695471E18
10,8948688651632	1,61823593957427E18
11,0488968035092	1,61033723819106E18
11,2051023362884	1,60233307550496E18
11,3635162495878	1,59422423924734E18
11,5241697647377	1,58601160187342E18
11,6870945444648	1,57769612161033E18
11,8523226991326	1,56927884216351E18
12,0198867930701	1,5607608931927E18
12,1898198509896	1,55214348989669E18
12,3621553644955	1,54342793268718E18
12,5369272986851	1,53461560715135E18
12,7141700988426	1,52570798292321E18
12,893918697228	1,51670661324296E18
13,0762085199615	1,50761313356844E18
13,2610754940058	1,49842926094392E18
13,4485560542467	1,48915679220081E18
13,6386871506742	1,4797976026272E18
13,8315062556642	1,47035364430766E18
14,0270513713647	1,46082694433184E18
14,2253610371849	1,45121960258293E18
14,4264743373909	1,44153378970938E18
14,6304309088092	1,43177174487152E18
14,8372709486378	1,42193577302205E18
15,0470352223692	1,41202824262339E18
15,2597650718245	1,40205158249466E18
15,4755024233013	1,39200827929371E18
15,694289795837	1,38190087431865E18
15,9161703095885	1,37173196049968E18
16,1411876943309	1,36150417906714E18
16,3693862980758	1,35122021634403E18
16,6008110958119	1,34088280032045E18
16,8355076983691	1,33049469717317E18
17,0735223614074	1,3200587077377E18
17,3149019945337	1,30957766399785E18
17,5596941705468	1,29905442532905E18
17,8079471348137	1,28849187490256E18
18,0597098147778	1,27789291615143E18
18,3150318296018	1,26726046879334E18
18,5739634999477	1,25659746530666E18
18,8365558578932	1,24590684728195E18
19,1028606569907	1,2351915617292E18
19,3729303824664	1,22445455730163E18
19,6468182615645	1,21369878097584E18
19,9245782740383	1,20292717420071E18
20,206265162788	1,19214266965176E18
20,4919344446505	1,18134818770351E18
20,7816424213407	1,17054663307162E18
21,0754461905479	1,15974089154906E18
21,3734036571891	1,14893382686901E18
21,6755735448213	1,13812827763836E18
21,9820154072151	1,12732705424393E18
22,2927896400918	1,11653293610419E18
22,6079574930271	1,10574866885176E18
22,927581081522	1,09497696170017E18
23,2517233992456	1,0842204848745E18
23,5804483304496	1,07348186736212E18
23,9138206625598	1,0627636944555E18
24,2519060989443	1,05206850573644E18
24,5947712718631	1,04139879302146E18
24,9424837556003	1,03075699851786E18
25,2951120797822	1,02014551306159E18
