# frequency (Hz)	Voltage_X (V) 	Voltage_Y (V)
1.0000000e+02	1.0258200e-01	-2.6703000e-05
1.2689610e+02	1.0257800e-01	-3.0517800e-05
1.6102620e+02	1.0257800e-01	-3.0517800e-05
2.0433597e+02	1.0257800e-01	-5.3406000e-05
2.5929438e+02	1.0258200e-01	-6.1035600e-05
3.2903446e+02	1.0257800e-01	-7.6294400e-05
4.1753189e+02	1.0258200e-01	-9.9182600e-05
5.2983169e+02	1.0258200e-01	-1.1444100e-04
6.7233575e+02	1.0258200e-01	-1.4877400e-04
8.5316785e+02	1.0258200e-01	-1.7547700e-04
1.0826367e+03	1.0257800e-01	-2.2506800e-04
1.3738238e+03	1.0258200e-01	-2.9373400e-04
1.7433288e+03	1.0258200e-01	-3.7384200e-04
2.2122163e+03	1.0257800e-01	-4.8065400e-04
2.8072162e+03	1.0258200e-01	-6.1035500e-04
3.5622479e+03	1.0257400e-01	-7.8201700e-04
4.5203537e+03	1.0257000e-01	-9.9182900e-04
5.7361525e+03	1.0257800e-01	-1.2550400e-03
7.2789538e+03	1.0258200e-01	-1.5983700e-03
9.2367086e+03	1.0258200e-01	-2.0256200e-03
1.1721023e+04	1.0258900e-01	-2.5673100e-03
1.4873521e+04	1.0260100e-01	-3.2692100e-03
1.8873918e+04	1.0263100e-01	-4.1199000e-03
2.3950266e+04	1.0268100e-01	-5.2643100e-03
3.0391954e+04	1.0278000e-01	-6.6528600e-03
3.8566204e+04	1.0296700e-01	-8.4686900e-03
4.8939009e+04	1.0329100e-01	-1.0849100e-02
6.2101694e+04	1.0376800e-01	-1.3996200e-02
7.8804628e+04	1.0448100e-01	-1.8116100e-02
1.0000000e+05	1.0557600e-01	-2.4086100e-02
