n,C_gap,C_gap_err,C_landau,C_landau_err
1,-1.1925769886261921e-08,4.26387404360033e-09,2.351629881888909e-09,4.437651870947975e-09
2,-1.1473978757566045e-08,4.81783902428927e-09,2.9165303686815587e-09,3.9349426360302745e-09
3,-6.737200926761039e-09,7.92958716690265e-09,2.511777510166652e-09,3.915175440286631e-09
4,-1.6396725298518203e-08,8.946019831091225e-09,6.688557583944352e-10,2.291218231611074e-09
5,-5.324386751112e-09,1.7432168849282164e-09,5.103682875787383e-10,1.0108394018054774e-09
6,-1.163114643817052e-08,4.20554753953726e-09,8.732945396237907e-10,8.683581597615233e-10
