n,C_gap,C_gap_err,C_landau,C_landau_err
1,1.1801966419849045e-11,4.490403438860204e-12,-3.200009778866312e-11,2.8743782390376964e-11
2,1.2007909329645711e-11,3.841338729081724e-12,-4.650320039209208e-11,3.7474470570828497e-11
3,1.3138123482339398e-11,6.508563484260677e-12,-7.05714435536422e-11,5.0392377831383965e-11
4,9.744861069183929e-12,4.23332363953088e-12,-9.529528652575286e-11,5.811405497644693e-11
5,1.9036369296967366e-11,4.83107929238243e-12,-1.3559492654001652e-10,6.242553207397902e-11
6,1.4716657177295202e-11,6.383775215069833e-12,-1.24402344292295e-10,5.054302128883883e-11
